FromText="Våre tjenester og prosesser"; Property="Id"; Criteria="None"; Context="lblTitle";
FromText="Våre tjenester og prosesser"; Property="Text"; Criteria="None"; Context="String";
FromText="Ledelse"; Property="Id"; Criteria="None"; Context="node_lnk_4014";
FromText="Vårt fundament"; Property="Id"; Criteria="None"; Context="item_lnk_4015";
FromText="Organisasjon"; Property="Id"; Criteria="None"; Context="item_lnk_4017";
FromText="Strategi"; Property="Id"; Criteria="None"; Context="item_lnk_4018";
FromText="Økonomi"; Property="Id"; Criteria="None"; Context="item_lnk_4019";
FromText="Rapporter"; Property="Id"; Criteria="None"; Context="item_lnk_4021";
FromText="STAB"; Property="Id"; Criteria="None"; Context="node_lnk_4022";
FromText="Marked"; Property="Id"; Criteria="None"; Context="item_lnk_4023";
FromText="HR"; Property="Id"; Criteria="None"; Context="item_lnk_4024";
FromText="Regnskap"; Property="Id"; Criteria="None"; Context="item_lnk_4025";
FromText="KS"; Property="Id"; Criteria="None"; Context="item_lnk_4026";
FromText="HMS stab"; Property="Id"; Criteria="None"; Context="item_lnk_4027";
FromText="Miljø"; Property="Id"; Criteria="None"; Context="item_lnk_4028";
FromText="Innkjøp"; Property="Id"; Criteria="None"; Context="item_lnk_4029";
FromText="IKT Support"; Property="Id"; Criteria="None"; Context="item_lnk_4030";
FromText="Forretningsområder"; Property="Id"; Criteria="None"; Context="node_lnk_4031";
FromText="PU og Drift"; Property="Id"; Criteria="None"; Context="item_lnk_4033";
FromText="Utvikling"; Property="Id"; Criteria="None"; Context="item_lnk_4034";
FromText="Prosjektering"; Property="Id"; Criteria="None"; Context="item_lnk_4035";
FromText="Produksjonsstøtte"; Property="Id"; Criteria="None"; Context="item_lnk_4036";
FromText="Produksjon"; Property="Id"; Criteria="None"; Context="item_lnk_4040";
FromText="Bistand entreprenør "; Property="Id"; Criteria="None"; Context="item_lnk_5038";
FromText="Detaljstyring"; Property="Id"; Criteria="None"; Context="item_lnk_5040";
FromText="HMS"; Property="Id"; Criteria="None"; Context="item_lnk_6038";
FromText="Test1"; Property="Id"; Criteria="None"; Context="node_lnk_6039";
FromText="Test1-1"; Property="Id"; Criteria="None"; Context="item_lnk_6040";
FromText="Test1-2"; Property="Id"; Criteria="None"; Context="item_lnk_6041";
FromText="OrganizationLevel"; Property="Id"; Criteria="None"; Context="lblOrganizationTitle";
FromText="OrganizationLevel"; Property="Text"; Criteria="None"; Context="String";
FromText="Alle"; Property="Id"; Criteria="None"; Context="Tc_Alle";
FromText="Ledelse"; Property="Id"; Criteria="None"; Context="Tc_Name";
FromText="STAB"; Property="Id"; Criteria="None"; Context="Tc_Name";
FromText="Forretningsområder"; Property="Id"; Criteria="None"; Context="Tc_Name";
FromText="Test1"; Property="Id"; Criteria="None"; Context="Tc_Name";
FromText="Legg til"; Property="Id"; Criteria="None"; Context="";
FromText="Paste"; Property="Id"; Criteria="None"; Context="";
FromText="Legg til"; Property="Id"; Criteria="None"; Context="";
FromText="Edit"; Property="Id"; Criteria="None"; Context="";
FromText="Slett"; Property="Id"; Criteria="None"; Context="";
FromText="Cut"; Property="Id"; Criteria="None"; Context="";
FromText="Paste"; Property="Id"; Criteria="None"; Context="";
FromText="MoveUp"; Property="Id"; Criteria="None"; Context="";
FromText="MoveDown"; Property="Id"; Criteria="None"; Context="";
FromText="Info"; Property="Id"; Criteria="None"; Context="lblInfo";
FromText="Info"; Property="Text"; Criteria="None"; Context="String";
FromText="Question"; Property="Id"; Criteria="None"; Context="lblQuestion";
FromText="Question"; Property="Text"; Criteria="None"; Context="String";
FromText="Name"; Property="Id"; Criteria="None"; Context="lblName";
FromText="Name"; Property="Text"; Criteria="None"; Context="String";
FromText="Description"; Property="Id"; Criteria="None"; Context="lblDescription";
